rank,weeks_hindex,peak_hindex,integrated_hindex,total_songs,artist
398,8,23,5.69,27,"Joe Tex"
399,8,19,6.13,26,"Ray Stevens"
400,8,16,5.09,26,"Solomon Burke"
401,8,22,5.02,25,"Otis Redding"
402,8,17,4.73,24,"Patti Page"
403,8,20,5.53,24,"Etta James"
404,8,16,5.83,23,"The Dells"
405,8,17,6.17,23,"Don Toliver"
406,8,14,5.31,22,"Tony Bennett"
407,8,17,6.16,22,"Brian Hyland"
408,8,15,4.78,22,"Gene Chandler"
409,8,20,6.38,22,"Bob Dylan"
410,8,18,6.52,21,"The Righteous Brothers"
411,8,15,5.31,21,"The Chi-lites"
412,8,18,6.01,20,"The Lettermen"
413,8,16,4.37,20,"Jack Jones"
414,8,16,5.86,20,"Ronnie Dove"
415,8,19,5.10,20,"Herb Alpert & The Tijuana Brass"
416,8,18,7.57,20,"The Monkees"
417,8,14,6.66,19,"Peter, Paul & Mary"
418,8,19,8.32,19,"Cardi B"
419,8,15,5.85,18,"Bill Black's Combo"
420,8,17,6.98,18,"Jay & The Americans"
421,8,16,6.31,18,"Dusty Springfield"
422,8,17,5.96,18,"Sonny & Cher"
423,8,14,6.03,17,"Del Shannon"
424,8,14,6.09,17,"Booker T. & The MG's"
425,8,14,7.47,17,"The Turtles"
426,8,14,6.83,17,"Bad Company"
427,8,14,6.30,16,"Cliff Richard"
428,8,10,4.25,16,"The Manhattans"
429,8,16,5.97,16,"Donovan"
430,8,15,5.98,16,"Peaches & Herb"
431,8,13,4.72,16,"Clarence Carter"
432,8,13,7.14,16,"50 Cent"
433,8,14,5.48,15,"The Coasters"
434,8,13,4.14,15,"Vic Dana"
435,8,15,6.19,15,"The Doors"
436,8,12,4.25,15,"The Delfonics"
437,8,14,6.40,15,"The Steve Miller Band"
438,8,13,4.35,15,"Tyrone Davis"
439,8,13,5.06,15,"Mac Davis"
440,8,15,6.41,15,"Kim Carnes"
441,8,13,5.70,14,"Tommy Edwards"
442,8,12,6.43,14,"Peter And Gordon"
443,8,13,7.18,14,"The Lovin' Spoonful"
444,8,12,6.14,14,"Joe Cocker"
445,8,13,4.91,14,"Eddie Kendricks"
446,8,13,6.38,14,"Atlanta Rhythm Section"
447,8,13,5.74,14,"Melissa Manchester"
448,8,14,6.38,14,"Kansas"
449,8,12,4.96,14,"The Cure"
450,8,13,5.42,14,"Pearl Jam"
451,8,13,7.29,13,"Charlie Rich"
452,8,13,6.72,13,"Paul Revere & The Raiders Featuring Mark Lindsay"
453,8,13,5.75,13,"Frankie Valli"
454,8,13,5.66,13,"Herb Alpert"
455,8,13,4.83,13,"Steppenwolf"
456,8,11,5.74,13,"Billy Preston"
457,8,12,5.23,13,"Isaac Hayes"
458,8,12,4.60,13,"Poco"
459,8,13,7.36,13,"Captain & Tennille"
